                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.33231,                0.37834,                0.91355,                0.37689,                0.38225,                0.92358,                0.96944,                0.94482,                0.98344,                0.95114,                0.26358,                0.21703,                0.82272,                0.27971,                0.17045,                0.82941,             0.00045175,             0.00045175,             0.00045175
                     87,                0.33345,                 0.3737,                0.91632,                0.38281,                0.38646,                0.93035,                 0.9755,                0.92826,                0.98073,                0.94867,                0.26706,                0.22886,                 0.8342,                0.28328,                0.19085,                0.84516,             0.00044969,             0.00044969,             0.00044969
                     88,                0.33694,                0.36969,                 0.9153,                 0.3861,                0.37751,                0.92647,                0.95594,                0.94599,                 0.9794,                0.94257,                0.28107,                0.23582,                0.84381,                 0.2946,                 0.2175,                0.85859,             0.00044763,             0.00044763,             0.00044763
                     89,                0.32818,                0.35888,                0.91087,                0.37298,                 0.3646,                0.92087,                0.96245,                0.93087,                0.97825,                0.95148,                0.26234,                0.21473,                0.83043,                0.27803,                 0.1973,                0.84032,             0.00044556,             0.00044556,             0.00044556
                     90,                0.32978,                0.36072,                0.91885,                 0.3831,                0.37472,                 0.9312,                0.96639,                0.95515,                 0.9868,                 0.9551,                0.27151,                 0.2124,                0.83083,                 0.2869,                0.17052,                  0.838,              0.0004435,              0.0004435,              0.0004435
                     91,                0.32092,                0.35851,                0.90776,                0.36885,                0.36348,                0.91944,                0.94587,                0.97248,                0.98814,                0.96145,                0.26832,                0.21054,                0.82552,                0.28021,                  0.161,                0.83044,             0.00044144,             0.00044144,             0.00044144
                     92,                0.32872,                0.35389,                 0.9114,                 0.3736,                0.35741,                0.92384,                 0.9551,                0.96942,                0.99023,                 0.9599,                0.26119,                0.20186,                0.82445,                0.27329,                 0.1556,                  0.831,             0.00043937,             0.00043937,             0.00043937
                     93,                0.32617,                 0.3588,                0.91766,                0.37561,                0.37018,                0.93138,                0.98118,                0.97028,                 0.9901,                0.95684,                0.26662,                0.20172,                0.82476,                0.27801,                0.14459,                0.82614,             0.00043731,             0.00043731,             0.00043731
                     94,                0.32658,                0.36473,                0.91273,                0.37022,                0.37344,                0.92126,                0.96698,                0.96672,                0.98721,                0.95554,                0.26025,                0.20209,                0.82259,                0.28155,                0.15765,                0.83218,             0.00043525,             0.00043525,             0.00043525
                     95,                 0.3251,                0.36438,                0.91253,                0.37523,                 0.3804,                0.92508,                0.97309,                0.94104,                0.98547,                0.95259,                0.26703,                0.22498,                0.82881,                 0.2815,                0.17371,                0.83332,             0.00043319,             0.00043319,             0.00043319
                     96,                0.32223,                 0.3573,                0.90906,                0.36505,                0.37012,                0.91874,                0.97148,                0.96156,                0.98508,                0.95518,                0.26121,                0.20806,                0.82539,                0.27148,                 0.1642,                0.83245,             0.00043112,             0.00043112,             0.00043112
                     97,                0.32867,                0.35513,                0.91917,                 0.3737,                0.36391,                0.92887,                0.97679,                0.95545,                0.98862,                0.95743,                0.25707,                0.20807,                0.82553,                0.26703,                0.15889,                 0.8331,             0.00042906,             0.00042906,             0.00042906
                     98,                0.31467,                0.35307,                 0.9077,                0.35585,                  0.352,                0.91745,                0.95353,                0.96386,                0.98597,                 0.9575,                0.25612,                0.21387,                0.82359,                0.26167,                0.16008,                0.82418,               0.000427,               0.000427,               0.000427
                     99,                0.31429,                0.33889,                0.91024,                0.35494,                0.34729,                0.92025,                0.94939,                0.95994,                0.98807,                0.95815,                0.25819,                0.20902,                0.82746,                0.26529,                0.15333,                0.83023,             0.00042494,             0.00042494,             0.00042494
                    100,                0.32349,                0.35383,                0.91752,                0.36666,                0.36305,                0.92928,                0.96327,                0.96247,                0.98583,                0.96089,                0.25611,                0.20712,                0.82511,                0.25947,                0.16142,                0.82727,             0.00042288,             0.00042288,             0.00042288
                    101,                0.32493,                0.35988,                0.91721,                0.37204,                0.36421,                0.92848,                0.97037,                0.96062,                0.98843,                0.96042,                0.26054,                0.20721,                0.83194,                0.26967,                0.16107,                0.83663,             0.00042081,             0.00042081,             0.00042081
                    102,                0.31904,                0.34488,                0.91122,                0.36395,                0.35733,                0.92342,                0.97616,                0.92499,                0.98471,                0.96027,                0.25422,                0.20121,                0.82459,                0.26154,                 0.1762,                0.82738,             0.00041875,             0.00041875,             0.00041875
                    103,                0.31844,                0.33784,                0.91142,                0.36352,                 0.3449,                0.92193,                0.98333,                0.94666,                0.98879,                0.95969,                0.26046,                0.20221,                0.82625,                0.26892,                0.15991,                0.83127,             0.00041669,             0.00041669,             0.00041669
                    104,                0.31801,                0.35201,                0.90607,                0.36116,                0.35419,                0.91732,                0.98349,                0.95205,                0.98973,                0.95778,                  0.268,                0.20552,                0.82729,                 0.2759,                0.14652,                0.83077,             0.00041462,             0.00041462,             0.00041462
                    105,                0.30994,                0.33931,                0.90178,                0.35165,                0.34114,                0.91175,                0.95822,                0.96126,                0.98402,                 0.9572,                0.25657,                 0.2045,                0.82041,                0.27028,                0.17825,                0.82757,             0.00041256,             0.00041256,             0.00041256
                    106,                0.31036,                0.33069,                0.90473,                0.35682,                0.33263,                0.91841,                0.97351,                0.96861,                0.98875,                0.95606,                0.26177,                0.19857,                0.82627,                0.28318,                0.14871,                0.83398,              0.0004105,              0.0004105,              0.0004105
